Player,Number of Villages,Population,Village,Coordinates,X,Y,População,Distance,ProgressFarm
Natars,1079,142961,Natars 117|161,[117|161],117,161,121,22.47,False
Natars,1079,142961,Natars 80|147,[80|147],80,147,362,25.5,False
BoldDruid,2,458,Norpheus Negratu,[96|114],96,114,19,29.41,False
Salem,1,8,قرية Salem,[86|119],86,119,8,29.83,False
Amirhosein_…,1,79,Karaj village,[84|120],84,120,79,30.41,False
Natars,1079,142961,Natars 81|121,[81|121],81,121,117,31.89,False
NightAdygian,1,11,Деревня NightAdygian,[94|112],94,112,11,31.95,False
Tumundo,3,700,New village,[107|110],107,110,49,32.06,False
Camerianus,1,142,Dorf der Unbeugsamen,[87|115],87,115,142,32.45,False
MOOD12,1,161,MOOD12`s village,[84|117],84,117,161,32.65,False
Natars,1079,142961,Natars 89|113,[89|113],89,113,66,33.12,False
ShuToroso,1,27,ShuToroso,[81|118],81,118,27,33.94,False
LordOfTheRi…,1,24,LordOfTheRings`s village,[80|119],80,119,24,33.97,False
QTA6Cp5ip,1,47,QTA6Cp5ip`s village,[87|113],87,113,47,34.13,False
KAZARZ,1,15,قرية KAZARZ,[95|109],95,109,15,34.48,False
Tumundo,3,700,New village,[105|107],105,107,247,35.0,False
Chyna75,1,13,Aldeia do Chyna75,[72|128],72,128,13,35.85,False
Ahuramazda,1,8,Ahuramazda`s village,[102|106],102,106,8,36.12,False
Natars,1079,142961,Natars 74|123,[74|123],74,123,12,36.36,False
Hamad002,1,28,قرية Hamad002,[76|119],76,119,28,37.01,False
